hash|author|date|comment
1d3e22766|Alex Eagle|Wed Jul 3 12:52:07 2019 -0700|fix(bazel): revert location of xi18n outputs to bazel-genfiles (#31410)
c0955975f|crisbeto|Sun Jun 9 15:38:18 2019 +0200|feat(core): add automatic migration from Renderer to Renderer2 (#30936)
9515f171b|Joey Perrott|Wed Jul 3 06:24:56 2019 -0700|ci: update gcp_token (#31405)
1efaac5cb|Alex Rickabaugh|Tue Jul 2 14:14:53 2019 -0700|release: cut the v8.2.0-next.0 release
d27181fcd|Alex Rickabaugh|Tue Jul 2 14:10:45 2019 -0700|docs: release notes for the v8.1.0 release
9e34670b2|Judy Bogart|Tue Jun 4 08:05:25 2019 -0700|docs: add accessibility guide (#30851)
5039faff8|Judy Bogart|Wed Jun 12 11:31:19 2019 -0700|docs: add doc for complex config values (#31010)
44c6534f3|Kapunahele Wong|Wed Jun 26 15:19:10 2019 -0400|docs: fix typo in Template Syntax (#31298)
09970d52e|Michael Prentice|Sun Jun 30 02:34:15 2019 -0400|docs(core): in template syntax guide, make SVG example more clear (#31356)
95a9d6759|Michael Prentice|Sun Jun 30 05:02:52 2019 -0400|test(zone.js): fix typos (#31358)
fde016bc3|Judy Bogart|Mon Jul 1 09:05:21 2019 -0700|docs: fix typo in deployment page (#31369)
11a208f55|Ayaz Hafiz|Mon Jul 1 20:52:55 2019 -0700|feat(bazel): allow passing and rewriting an old bazel host (#31381)
1db3ac457|Pete Bacon Darwin|Mon Jul 1 15:37:51 2019 +0100|build(docs-infra): update dgeni-packages dependency (#31368)
02491a6ce|crisbeto|Thu Jun 27 18:57:09 2019 +0200|refactor(ivy): move classMap interpolation logic internally (#31211)
dca713c08|JoostK|Sat Jun 22 20:11:44 2019 +0200|test(ivy): verify equality of ngBaseDef metadata between compiler and core (#31210)
eb6281f5b|JoostK|Sat Jun 22 17:22:50 2019 +0200|fix(ivy): include type parameter for `ngBaseDef` declaration (#31210)
a4a423a08|Greg Magolan|Fri Jun 21 21:52:00 2019 -0700|build: fix build failures with worker mode cache and @types/events (#31325)
