hash|author|date|comment
35d2b3bb5|fnll|Fri Jul 5 23:08:13 2019 +0800|fix spelling error: resoltion ->  resolution (#16055)
bd72b0493|Vincent Riemer|Fri Jul 5 03:45:33 2019 -0700|[Flare] Clear pressStart timeout on pointercancel (#16067)
c40075a72|Dominic Gannaway|Thu Jul 4 21:30:46 2019 +0100|[Flare] Remove capture phase Flare events (#16054)
786186c69|Dominic Gannaway|Thu Jul 4 18:06:18 2019 +0100|[Flare] createInitialState -> getInitialState (#16051)
c64f40d71|Dominic Gannaway|Thu Jul 4 13:10:55 2019 +0100|[Flare] Remove dead event target code (#16063)
e6bfa327d|Dominic Gannaway|Wed Jul 3 11:31:06 2019 +0100|[Flare] Cleanup ReactFiberEvents-test (#16047)
b365ee281|Dominic Gannaway|Wed Jul 3 11:05:28 2019 +0100|[Fire] Remove unused React fire fork (#16046)
b8f91e664|Sunil Pai|Wed Jul 3 03:04:22 2019 +0100|[fail] reset IsThisRendererActing correctly (#16042)
bd846459d|Sunil Pai|Wed Jul 3 01:29:45 2019 +0100|[fail] Only warn on unacted effects for strict / non sync modes (#16041)
6b946ad9d|Dominic Gannaway|Tue Jul 2 23:51:31 2019 +0100|[Flare] Add more functionality to Scroll event resonder (#16036)
a457e02ae|Sunil Pai|Tue Jul 2 22:20:17 2019 +0100|allow nested `act()`s from different renderers (#16039)
a865e4a64|Anton Korzunov|Wed Jul 3 02:54:10 2019 +1000|Clone a custom hook node before use (#16019)
6cf2234a5|Dominic Gannaway|Tue Jul 2 16:58:46 2019 +0100|[Flare] Do not block mouse presses on scroll (#16033)
5cb8f6f34|Sebastian Markbåge|Mon Jul 1 19:56:34 2019 -0700|Add tail="collapsed" option to SuspenseList (#16007)
46bd11ac3|lunaruan|Mon Jul 1 16:58:04 2019 -0700|Flush sync bug (#16027)
933c664ad|Sebastian Markbåge|Mon Jul 1 14:25:07 2019 -0700|SuspenseList Optimizations (#16005)
fbbbea16e|Heaven|Tue Jul 2 00:32:30 2019 +0800|fix word async -> concurrent (#15844)
