hash|author|date|comment
3b8925bc|vue-bot|Sat Jun 22 06:48:50 2019 +0200|chore: update sponsors [ci skip] (#10181)
b47a7b82|vue-bot|Sat Jun 22 06:48:00 2019 +0200|chore: update backers [ci skip] (#9974)
bad3c326|vue-bot|Fri Jun 14 16:24:23 2019 +0200|chore: update sponsors [ci skip] (#10158)
8f7133c8|Evan You|Wed Jun 12 22:39:51 2019 +0800|chore: fix sponsor url [ci skip]
bbdaaf48|vue-bot|Wed Jun 12 10:34:56 2019 +0200|chore: update sponsors [ci skip] (#10136)
d09355c5|vue-bot|Wed Jun 12 10:32:46 2019 +0200|chore: update sponsors [ci skip] (#10130)
3819af5c|vue-bot|Tue Jun 11 09:40:50 2019 +0200|chore: update sponsors [ci skip] (#10113)
f64765fa|Magic|Tue Jun 4 17:51:19 2019 +0800|chore(typo): fix comment typo (#10101)
ff911c9f|vue-bot|Fri May 24 05:20:12 2019 +0200|chore: update sponsors [ci skip] (#10064)
0224ae85|Evan You|Fri May 24 11:19:01 2019 +0800|Create FUNDING.yml
06d4ad40|vue-bot|Thu May 16 03:04:06 2019 +0200|chore: update sponsors [ci skip] (#10031)
0caebfe9|msidolphin|Tue May 14 18:15:42 2019 +0800|chore(typo): fix README tag mismatch (#9934)
1137e415|Sai|Thu May 9 00:08:29 2019 +0900|chore(typo): fix typo in comments (#9995)
26bd8077|vue-bot|Thu May 2 17:01:15 2019 +0200|chore: update sponsors [ci skip] (#9970)
f0b9c923|vue-bot|Sun Apr 28 03:39:43 2019 +0200|chore: update sponsors [ci skip] (#9933)
569b728a|GU Yiling|Thu Apr 25 21:04:36 2019 +0800|fix: fix function expression regex (#9922)
ab50e8e1|katashin|Thu Apr 25 11:18:07 2019 +0800|fix(types): fix global namespace declaration for UMD bundle (#9912)
085d1883|X.L|Thu Apr 25 11:17:39 2019 +0800|fix(compiler): Remove the warning for valid v-slot value (#9917)
861aea16|Natalia Tepluhina|Thu Apr 25 05:39:19 2019 +0300|polish: add warning when .native modifier is used on native HTML elements (#9884)
bd6cea09|zrh122|Thu Apr 25 10:35:16 2019 +0800|test: fix running e2e test on windows (#9909)
43b98fe2|子迟|Thu Apr 25 10:34:55 2019 +0800|refactor: remove useless parameter to the function removeVnodes (#9914)
ea113d26|Evan You|Thu Apr 25 10:13:32 2019 +0800|test: separate failing test for TS 3.4
a9a30300|Evan You|Thu Apr 25 10:00:51 2019 +0800|chore: fix SimpleSet export
29e745f9|Henri Yandell|Mon Apr 22 18:44:01 2019 -0700|chore: improve license clarity of simplehtmlparser.js (#9907)
f478ab80|vue-bot|Wed Apr 10 21:00:56 2019 -0400|chore: update sponsors [ci skip] (#9860)
91b8cda0|Billy Zou|Wed Apr 10 11:45:47 2019 -0400|docs(contributing): fix a grammar error (#9858)
15704ce6|Evan You|Wed Apr 10 11:01:01 2019 +0800|chore: use png for sponsor logo
fb4d2c1c|vue-bot|Tue Apr 9 22:51:23 2019 -0400|chore: update sponsors [ci skip] (#9846)
546e7d14|Billy Zou|Mon Apr 8 14:06:47 2019 -0400|docs(contributing): add yarn requirement to guide (#9848)
